,Name,Address,Metro,Rating,Money
0,Хлеб и вино,"просп. Вернадского, 94, корп. 8, ЖК «Миракс-парк»","Юго-Западная, Тропарево",,2
1,Beer Happens,"Сретенка, 24/2, стр. 1",Сухаревская,9.1,2
2,Винный базар на Комсомольском,"Комсомольский просп., 14/1, корп. 2",Парк культуры,9.1,2
3,Grammy's,"Кутузовский просп., 2/1, стр. 6, в Конгресс-парке гостиницы «Radisson Royal Москва»",Киевская,9.0,3
4,Mitzva Bar,"Пятницкая, 3/4, стр. 1","Новокузнецкая, Третьяковская",9.0,2
5,Боэми,"Рочдельская, 11/5","Краснопресненская, Баррикадная",9.0,3
6,Lumberjack Bar,"Б.Спасоглинищевский пер., 3, стр. 5",Китай-город,9.0,3
7,Бутчер,"Лубянский пр., 15/2",Китай-город,9.0,4
8,Лейка,"Головинское ш., 5, ТЦ «Водный», 3 этаж",Водный стадион,9.0,2
9,Pinzeria by Bontempi,"Б.Знаменский пер., 2, стр. 3",Кропоткинская,8.9,2
10,Энтузиаст,"Столешников пер., 7, стр. 5","Тверская, Пушкинская, Чеховская",8.9,1
11,Натахтари на Маросейке,"Маросейка, 6/8, стр. 1",Китай-город,8.9,2
12,Let's Rock Bar,"Кузнецкий Мост, 4","Охотный Ряд, Театральная, Площадь Революции",8.9,2
13,AQ Chicken,"Трехпрудный пер., 11/13, стр. 2","Тверская, Пушкинская, Чеховская",8.9,3
14,Scrocchiarella,"Покровка, 1/13/6, стр. 2",Китай-город,8.8,2
15,Дарбази,"Николоямская, 16/2","Таганская, Марксистская",8.8,3
16,Wine Religion,"Мичуринский просп., 16",Университет,8.8,3
17,Хинкали Point,"Забелина, 1",Китай-город,8.8,1
18,Субботица,"Садовая-Кудринская, 8/12","Маяковская, Краснопресненская, Баррикадная",8.8,3
19,Сахли,"Б.Каретный пер., 6","Цветной бульвар, Трубная",8.8,3
20,Китайская грамота,"Сретенка, 1","Чистые пруды, Тургеневская, Сретенский бульвар",8.8,3
21,Zodiac,"Смоленская пл., 3, Смоленский пассаж, 1 этаж",Смоленская,8.8,3
22,Torro Grill,"3-й Крутицкий пер., 11","Пролетарская, Крестьянская Застава",8.8,3
23,I Like Wine,"Покровка, 16","Чистые пруды, Тургеневская, Китай-город, Сретенский бульвар",8.8,2
24,Лепим и варим,"Столешников пер., 9, стр. 1","Лубянка, Тверская, Пушкинская, Кузнецкий Мост, Чеховская",8.8,1
25,One Teaspoon Café,"Яузский б-р, 14/8",Китай-город,8.7,2
26,Glenuill,"Садовая-Самотечная, 20, стр. 1","Цветной бульвар, Трубная",8.7,3
27,Too Much Beer & Wine,"М.Гнездниковский пер., 12","Тверская, Пушкинская, Чеховская",8.7,2
28,AQ Kitchen,"Б.Грузинская, 69","Белорусская, Маяковская",8.7,3
29,Björn,"Пятницкая, 3/4, стр. 1","Новокузнецкая, Третьяковская",8.7,3
30,Torro Grill,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис»",Войковская,8.7,3
31,Рынок и общепит,"Весковский пер., 7","Новослободская, Менделеевская",8.7,1
32,Даблби,"Милютинский пер., 3","Лубянка, Кузнецкий Мост",8.7,1
33,Сайгон,"Б.Грузинская, 39",Белорусская,8.7,2
34,Укубар,"Покровка, 17","Чистые пруды, Тургеневская, Сретенский бульвар",8.7,2
35,Bellis Lounge & Karaoke Bar,"Тверская, 18, вход через клуб Lookin Rooms","Тверская, Пушкинская, Чеховская",8.7,3
36,Dizengof 99,"1-й Гончарный пер., 4, стр. 2","Таганская, Марксистская",8.7,2
37,7 сэндвичей,"4-й Сыромятнический пер., 3/5, стр. 3","Курская, Чкаловская",8.7,1
38,Molon Lave,"Б.Грузинская, 39",Белорусская,8.7,2
39,Корё,"Орджоникидзе, 11, стр. 9",Ленинский проспект,8.7,2
40,Kodo,"Охотный Ряд, 2, ТГ «Модный сезон», кинотеатр «Москва»","Охотный Ряд, Театральная, Площадь Революции",8.7,4
41,Plum,"Серпуховский Вал, 17","Шаболовская, Тульская",8.7,3
42,Noor,"Тверская, 23","Маяковская, Тверская, Пушкинская, Чеховская",8.7,3
43,Savva,"Театральный пр., 2, гостиница «Метрополь»","Охотный Ряд, Театральная, Площадь Революции",8.7,4
44,Практика by Darvin,"Б.Грузинская, 37, стр. 2",Белорусская,8.7,2
45,Max Brenner,"Цветной б-р, 2, БЦ «Легенда Цветного», 1 этаж","Цветной бульвар, Трубная",8.7,1
46,Chicha,"Новинский б-р, 31, ТДЦ «Новинский», 1 этаж","Краснопресненская, Баррикадная",8.7,3
47,City Space Bar & Restaurant,"Космодамианская наб., 52, стр. 6, гостиница «Swissotel Красные Холмы», 34 этаж",Павелецкая,8.6,3
48,Aura,"Дзержинский, Поклонная, 9",,,1
49,Aura Bar,"Новочеркасский б-р, 57, корп. 2",Марьино,,2
