,Name,Address,Rating,Money,lat,lng,District
0,Хлеб и вино,"просп. Вернадского, 94, корп. 8, ЖК «Миракс-парк»",,2.0,55.652674,37.476402,Тропарёво-Никулино
1,Beer Happens,"Сретенка, 24/2, стр. 1",9.1,2.0,55.769838,37.632889,Красносельский
2,Винный базар на Комсомольском,"Комсомольский просп., 14/1, корп. 2",9.1,2.0,55.731374,37.589985,Хамовники
4,Mitzva Bar,"Пятницкая, 3/4, стр. 1",9.0,2.0,55.745427,37.627165999999995,Замоскворечье
5,Боэми,"Рочдельская, 11/5",9.0,3.0,55.756462,37.569953000000005,Пресненский
6,Lumberjack Bar,"Б.Спасоглинищевский пер., 3, стр. 5",9.0,3.0,55.756437,37.635188,Басманный
7,Бутчер,"Лубянский пр., 15/2",9.0,4.0,55.756817000000005,37.632305,Басманный
8,Лейка,"Головинское ш., 5, ТЦ «Водный», 3 этаж",9.0,2.0,55.84024,37.492024,Головинский
9,Pinzeria by Bontempi,"Б.Знаменский пер., 2, стр. 3",8.9,2.0,55.745934,37.602517,Хамовники
10,Энтузиаст,"Столешников пер., 7, стр. 5",8.9,1.0,55.763787,37.614186,Тверской
11,Натахтари на Маросейке,"Маросейка, 6/8, стр. 1",8.9,2.0,55.757491,37.635404,Басманный
12,Let's Rock Bar,"Кузнецкий Мост, 4",8.9,2.0,55.760879,37.616764,Тверской
13,AQ Chicken,"Трехпрудный пер., 11/13, стр. 2",8.9,3.0,55.765331,37.595546,Пресненский
14,Scrocchiarella,"Покровка, 1/13/6, стр. 2",8.8,2.0,55.758615,37.639024,Басманный
15,Дарбази,"Николоямская, 16/2",8.8,3.0,55.747074,37.650496000000004,Таганский
16,Wine Religion,"Мичуринский просп., 16",8.8,3.0,55.703118999999994,37.506046999999995,Раменки
17,Хинкали Point,"Забелина, 1",8.8,1.0,55.754557,37.637461,Басманный
18,Субботица,"Садовая-Кудринская, 8/12",8.8,3.0,55.76093,37.586490999999995,Пресненский
19,Сахли,"Б.Каретный пер., 6",8.8,3.0,55.770531999999996,37.616440000000004,Тверской
20,Китайская грамота,"Сретенка, 1",8.8,3.0,55.766532,37.630544,Мещанский
22,Torro Grill,"3-й Крутицкий пер., 11",8.8,3.0,55.731262,37.666036,Южнопортовый
23,I Like Wine,"Покровка, 16",8.8,2.0,55.759156999999995,37.645708,Басманный
24,Лепим и варим,"Столешников пер., 9, стр. 1",8.8,1.0,55.763189000000004,37.615111,Тверской
25,One Teaspoon Café,"Яузский б-р, 14/8",8.7,2.0,55.75095,37.643615000000004,Таганский
26,Glenuill,"Садовая-Самотечная, 20, стр. 1",8.7,3.0,55.773231,37.619459,Тверской
27,Too Much Beer & Wine,"М.Гнездниковский пер., 12",8.7,2.0,55.762525,37.606703,Тверской
28,AQ Kitchen,"Б.Грузинская, 69",8.7,3.0,55.773975,37.586086,Тверской
29,Björn,"Пятницкая, 3/4, стр. 1",8.7,3.0,55.745427,37.627165999999995,Замоскворечье
30,Torro Grill,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис»",8.7,3.0,55.823211,37.497468,Войковский
31,Рынок и общепит,"Весковский пер., 7",8.7,1.0,55.778921999999994,37.600343,Тверской
32,Даблби,"Милютинский пер., 3",8.7,1.0,55.761573,37.631469,Красносельский
33,Сайгон,"Б.Грузинская, 39",8.7,2.0,55.77074,37.581334000000005,Пресненский
34,Укубар,"Покровка, 17",8.7,2.0,55.759471,37.645537,Басманный
36,Dizengof 99,"1-й Гончарный пер., 4, стр. 2",8.7,2.0,55.74166700000001,37.652014,Таганский
37,7 сэндвичей,"4-й Сыромятнический пер., 3/5, стр. 3",8.7,1.0,55.755008,37.667303000000004,Басманный
38,Molon Lave,"Б.Грузинская, 39",8.7,2.0,55.77074,37.581334000000005,Пресненский
39,Корё,"Орджоникидзе, 11, стр. 9",8.7,2.0,55.70899300000001,37.593309000000005,Донской
41,Plum,"Серпуховский Вал, 17",8.7,3.0,55.711240000000004,37.612173,Даниловский
42,Noor,"Тверская, 23",8.7,3.0,55.766693999999994,37.600945,Тверской
43,Savva,"Театральный пр., 2, гостиница «Метрополь»",8.7,4.0,55.758448,37.62166,Тверской
44,Практика by Darvin,"Б.Грузинская, 37, стр. 2",8.7,2.0,55.769388,37.580795,Пресненский
45,Max Brenner,"Цветной б-р, 2, БЦ «Легенда Цветного», 1 этаж",8.7,1.0,55.768025,37.623483,Мещанский
46,Chicha,"Новинский б-р, 31, ТДЦ «Новинский», 1 этаж",8.7,3.0,55.757830000000006,37.582511,Пресненский
49,Aura Bar,"Новочеркасский б-р, 57, корп. 2",,2.0,55.647534,37.742447,Марьино
51,Avenue,"Смоленская, 8, гостиница Azimut Moscow Smolenskaya",,3.0,55.746233,37.5804,Арбат
55,Aviv Express,"Богословский пер., 5",,1.0,55.762485,37.598878000000006,Пресненский
56,Azora Coffee & Cheese,"Бауманская, 9",,1.0,55.776654,37.677104,Басманный
58,Baccarat Cristal Room,"Никольская, 19–21, 2 этаж",,4.0,55.758954,37.623852,Тверской
60,Bai Kalyan Café,"Волгоградский просп., 32, корп. 12",,2.0,55.72164,37.69304,Южнопортовый
61,Bake'n'Roll,"Академика Королева, 10",,3.0,55.823393,37.619899,Останкинский
62,Bakery by Men,"просп. Вернадского, 6, ТЦ «Капитолий Вернадского»",,1.0,55.69195799999999,37.527956,Раменки
63,Bakery Home,"Оболенский пер., 9, корп. 1",,1.0,55.73036,37.57925,Хамовники
64,Baklajan,"Кутузовский просп., 57",,3.0,55.727927,37.476169,Фили-Давыдково
65,Bang Bang,"Рождественка, 6/9/20, стр. 1",,1.0,55.761182999999996,37.623834,Мещанский
70,Barabar,"Новочеремушкинская, 12",,2.0,55.686471999999995,37.583436,Академический
72,Bar B.Q.,"Кржижановского, 22, стр. 1",,2.0,55.67769200000001,37.574363,Академический
73,Bar BQ Café Метрополис,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис»",,2.0,55.823211,37.497468,Войковский
74,Bar BQ Café на Манежной,"Манежная пл., 1, стр. 2, ТЦ «Охотный Ряд»",,2.0,55.755773,37.614608000000004,Тверской
76,Bar by Smoothie & Coffee,"Пресненская наб., 6, стр. 2, БЦ «Башня Империя», –1 этаж",,2.0,55.748143000000006,37.540488,Пресненский
77,Barin,"Б.Якиманка, 24, гостиница «Президент-отель», 14 этаж",,3.0,55.737441000000004,37.612973,Якиманка
78,Barista Café,"В.Красносельская, 3а, ТДК «Тройка»",,1.0,55.785513,37.665408,Красносельский
