,Name,Address,Metro,Rating,Money,lat,lng,District
0,Хлеб и вино,"просп. Вернадского, 94, корп. 8, ЖК «Миракс-парк»","Юго-Западная, Тропарево",,2.0,55.652674,37.476402,Тропарёво-Никулино
1,Beer Happens,"Сретенка, 24/2, стр. 1",Сухаревская,9.1,2.0,55.769838,37.632889,Красносельский
2,Винный базар на Комсомольском,"Комсомольский просп., 14/1, корп. 2",Парк культуры,9.1,2.0,55.731374,37.589985,Хамовники
3,Grammy's,"Кутузовский просп., 2/1, стр. 6, в Конгресс-парке гостиницы «Radisson Royal Москва»",Киевская,9.0,3.0,,,
4,Mitzva Bar,"Пятницкая, 3/4, стр. 1","Новокузнецкая, Третьяковская",9.0,2.0,55.745427,37.627166,Замоскворечье
5,Боэми,"Рочдельская, 11/5","Краснопресненская, Баррикадная",9.0,3.0,55.756462,37.569953,Пресненский
6,Lumberjack Bar,"Б.Спасоглинищевский пер., 3, стр. 5",Китай-город,9.0,3.0,55.756437,37.635188,Басманный
7,Бутчер,"Лубянский пр., 15/2",Китай-город,9.0,4.0,55.756817,37.632305,Басманный
8,Лейка,"Головинское ш., 5, ТЦ «Водный», 3 этаж",Водный стадион,9.0,2.0,55.84024,37.492024,Головинский
9,Pinzeria by Bontempi,"Б.Знаменский пер., 2, стр. 3",Кропоткинская,8.9,2.0,55.745934,37.602517,Хамовники
10,Энтузиаст,"Столешников пер., 7, стр. 5","Тверская, Пушкинская, Чеховская",8.9,1.0,55.763787,37.614186,Тверской
11,Натахтари на Маросейке,"Маросейка, 6/8, стр. 1",Китай-город,8.9,2.0,55.757491,37.635404,Басманный
12,Let's Rock Bar,"Кузнецкий Мост, 4","Охотный Ряд, Театральная, Площадь Революции",8.9,2.0,55.760879,37.616764,Тверской
13,AQ Chicken,"Трехпрудный пер., 11/13, стр. 2","Тверская, Пушкинская, Чеховская",8.9,3.0,55.765331,37.595546,Пресненский
14,Scrocchiarella,"Покровка, 1/13/6, стр. 2",Китай-город,8.8,2.0,55.758615,37.639024,Басманный
